date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:53:50	327/327	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Apr%202018%2004:53:50%20GMT	http://www.aquafarm.sg/robots.txt		(from )
11:53:51	33174/33174	---M-Z	200	added ('OK')	text/html	etag:%22a1a0e32-8196-555c0b0fd8761-gzip%22	http://www.aquafarm.sg/	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/index.html	(from )
11:53:51	4202/4202	---M--	200	added ('OK')	image/png	etag:%22a1a065b-106a-538864005d705%22	http://www.aquafarm.sg/assets/images/favico.png	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/assets/images/favico.png	(from http://www.aquafarm.sg/)
11:53:52	156756/156756	---M--	200	added ('OK')	text/css	etag:%22a1a051e-26454-538863aee378f%22	http://www.aquafarm.sg/assets/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/assets/bootstrap/css/bootstrap.min.css	(from http://www.aquafarm.sg/)
11:53:54	56306/56306	---M--	200	added ('OK')	text/css	etag:%22a1a04b8-dbf2-538863a6e74cc%22	http://www.aquafarm.sg/assets/animate.css/animate.min.css	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/assets/animate.css/animate.min.css	(from http://www.aquafarm.sg/)
11:53:56	33354/33354	---M--	200	added ('OK')	text/css	etag:%22a1a067a-824a-53886441888a8%22	http://www.aquafarm.sg/assets/mobirise/css/style.css	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/assets/mobirise/css/style.css	(from http://www.aquafarm.sg/)
11:53:56	12925/12925	---M--	200	added ('OK')	text/css	etag:%22a1a0649-327d-538863d57e2df%22	http://www.aquafarm.sg/assets/dropdown-menu-plugin/style.css	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/assets/dropdown-menu-plugin/style.css	(from http://www.aquafarm.sg/)
11:53:58	2064/2064	---M--	200	added ('OK')	text/css	etag:%22a1a0681-810-538864509c0c2%22	http://www.aquafarm.sg/assets/mobirise-slider/style.css	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/assets/mobirise-slider/style.css	(from http://www.aquafarm.sg/)
11:53:58	5199/5199	---M--	200	added ('OK')	text/css	etag:%22a1a0679-144f-5388643f512cc%22	http://www.aquafarm.sg/assets/mobirise/css/mbr-additional.css	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/assets/mobirise/css/mbr-additional.css	(from http://www.aquafarm.sg/)
11:53:59	657/657	---M--	200	added ('OK')	text/css	etag:%22a1a0678-291-5389b32607516%22	http://www.aquafarm.sg/assets/mobirise/css/canaro-light.css	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/assets/mobirise/css/canaro-light.css	(from http://www.aquafarm.sg/)
11:54:00	7706/7706	---M--	200	added ('OK')	image/png	etag:%22a1a065e-1e1a-53886406c6bf6%22	http://www.aquafarm.sg/assets/images/logo-221x77-33.png	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/assets/images/logo-221x77-33.png	(from http://www.aquafarm.sg/)
11:54:01	1105/1105	---M--	200	added ('OK')	image/png	etag:%22a1a034d-451-5389a22acfcdf%22	http://www.aquafarm.sg/assets/images/fb.png	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/assets/images/fb.png	(from http://www.aquafarm.sg/)
11:54:04	13664/13664	---M--	200	added ('OK')	image/jpeg	etag:%22a1a0654-3560-538863eee5675%22	http://www.aquafarm.sg/assets/images/aquafarm1-1200x476-25.jpg	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/assets/images/aquafarm1-1200x476-25.jpg	(from http://www.aquafarm.sg/)
11:54:07	35943/35943	---MC-	200	added ('OK')	text/javascript	date:Mon,%2013%20Nov%202017%2020:19:12%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.google-analytics.com/analytics.js	(from http://www.aquafarm.sg/)
11:54:13	22636/22636	---M--	200	added ('OK')	image/gif	etag:%22a1a06b4-586c-538b1dbaf70f6%22	http://www.aquafarm.sg/assets/images/fish_anim.gif	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/assets/images/fish_anim.gif	(from http://www.aquafarm.sg/)
11:54:16	18884/18884	---M--	200	added ('OK')	image/gif	etag:%22a1a030d-49c4-538b1db55eeb2%22	http://www.aquafarm.sg/assets/images/chart_anim.gif	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/assets/images/chart_anim.gif	(from http://www.aquafarm.sg/)
11:54:25	48832/48832	---M--	200	added ('OK')	image/gif	etag:%22a1a06b3-bec0-538b1db85633d%22	http://www.aquafarm.sg/assets/images/settings_anim.gif	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/assets/images/settings_anim.gif	(from http://www.aquafarm.sg/)
11:54:30	181818/181818	---M--	200	added ('OK')	image/jpeg	etag:%22a1a0655-2c63a-538863f2106a2%22	http://www.aquafarm.sg/assets/images/aquafarm1.jpg	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/assets/images/aquafarm1.jpg	(from http://www.aquafarm.sg/)
11:54:36	35446/35446	---M--	200	added ('OK')	image/jpeg	etag:%22a1a0690-8a76-538864b77de89%22	http://www.aquafarm.sg/1.jpg	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/1.jpg	(from http://www.aquafarm.sg/)
11:54:41	28685/28685	---M--	200	added ('OK')	image/jpeg	etag:%22a1a068f-700d-538864b54a72c%22	http://www.aquafarm.sg/2.jpg	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/2.jpg	(from http://www.aquafarm.sg/)
11:54:44	118633/118633	---M--	200	added ('OK')	image/png	etag:%22a1a0691-1cf69-538864ba406e6%22	http://www.aquafarm.sg/handtel.png	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/handtel.png	(from http://www.aquafarm.sg/)
11:54:44	16873/16873	---M--	200	added ('OK')	image/jpeg	etag:%22a1a0653-41e9-538863ed135a5%22	http://www.aquafarm.sg/assets/images/aquabasic.jpg	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/assets/images/aquabasic.jpg	(from http://www.aquafarm.sg/)
11:54:45	3602/3602	---M--	200	added ('OK')	image/jpeg	etag:%22a1a066a-e12-5388641e1c343%22	http://www.aquafarm.sg/assets/images/basic/ecprobe.jpg	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/assets/images/basic/ecprobe.jpg	(from http://www.aquafarm.sg/)
11:54:45	273428/273428	---M--	200	added ('OK')	image/jpeg	etag:%22a1a0657-42c14-538863f7bf731%22	http://www.aquafarm.sg/assets/images/aquafarm2.jpg	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/assets/images/aquafarm2.jpg	(from http://www.aquafarm.sg/)
11:54:46	272995/272995	---M--	200	added ('OK')	image/jpeg	etag:%22a1a0658-42a63-538863fb16291%22	http://www.aquafarm.sg/assets/images/aquafarm3.jpg	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/assets/images/aquafarm3.jpg	(from http://www.aquafarm.sg/)
11:54:46	3291/3291	---M--	200	added ('OK')	image/jpeg	etag:%22a1a066d-cdb-5388642367250%22	http://www.aquafarm.sg/assets/images/basic/phprobe.jpg	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/assets/images/basic/phprobe.jpg	(from http://www.aquafarm.sg/)
11:54:48	51734/51734	---M--	200	added ('OK')	image/png	etag:%22a1a0669-ca16-5388641c828c5%22	http://www.aquafarm.sg/assets/images/basic/aquabasic.png	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/assets/images/basic/aquabasic.png	(from http://www.aquafarm.sg/)
11:54:48	3761/3761	---M--	200	added ('OK')	image/jpeg	etag:%22a1a066c-eb1-53886421dc22f%22	http://www.aquafarm.sg/assets/images/basic/hdpedoprobe.jpg	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/assets/images/basic/hdpedoprobe.jpg	(from http://www.aquafarm.sg/)
11:54:49	3700/3700	---M--	200	added ('OK')	image/jpeg	etag:%22a1a066f-e74-538864280a5d8%22	http://www.aquafarm.sg/assets/images/pro/opticalprobe.jpg	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/assets/images/pro/opticalprobe.jpg	(from http://www.aquafarm.sg/)
11:54:50	22752/22752	---M--	200	added ('OK')	image/png	etag:%22a1a066b-58e0-53886420446f0%22	http://www.aquafarm.sg/assets/images/basic/gateway.png	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/assets/images/basic/gateway.png	(from http://www.aquafarm.sg/)
11:54:50	1264/1264	---M--	200	added ('OK')	image/png	etag:%22a1a068e-4f0-538864b319ac5%22	http://www.aquafarm.sg/icon1.png	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/icon1.png	(from http://www.aquafarm.sg/)
11:54:50	1278/1278	---M--	200	added ('OK')	image/png	etag:%22a1a068d-4fe-538864b18a454%22	http://www.aquafarm.sg/icon2.png	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/icon2.png	(from http://www.aquafarm.sg/)
11:54:51	17539/17539	---M--	200	added ('OK')	image/jpeg	etag:%22a1a0659-4483-538863fd4151e%22	http://www.aquafarm.sg/assets/images/aquapro.jpg	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/assets/images/aquapro.jpg	(from http://www.aquafarm.sg/)
11:54:51	1111/1111	---M--	200	added ('OK')	image/png	etag:%22a1a068c-457-538864aff7734%22	http://www.aquafarm.sg/icon3.png	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/icon3.png	(from http://www.aquafarm.sg/)
11:54:51	12914/12914	---M-Z	200	added ('OK')	text/html	etag:%22a1a0696-3272-5388846e8ba89;555312e2d11e9-gzip%22	http://www.aquafarm.sg/privacy	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/privacy.html	(from http://www.aquafarm.sg/)
11:54:52	30208/30208	---M--	200	added ('OK')	image/png	etag:%22a1a0668-7600-5388641a084a1%22	http://www.aquafarm.sg/assets/images/basic/application.png	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/assets/images/basic/application.png	(from http://www.aquafarm.sg/)
11:54:53	1249/1249	---M--	200	added ('OK')	application/javascript	etag:%22a1a067f-4e1-5388644b98e1b%22	http://www.aquafarm.sg/assets/mobirise/js/text-slider.js	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/assets/mobirise/js/text-slider.js	(from http://www.aquafarm.sg/)
11:54:53	1185/1185	---M--	200	added ('OK')	application/javascript	etag:%22a1a067c-4a1-538864461879c%22	http://www.aquafarm.sg/assets/mobirise/js/fontsmoothie.min.js	C:/My%20Web%20Sites/httpwww.aquafarm.sg_/www.aquafarm.sg/assets/mobirise/js/fontsmoothie.min.js	(from http://www.aquafarm.sg/)
